[all run data];conflict;conflict;conflict;conflict;conflict;conflict;conflict;conflict;conflict;conflict;conflict;conflict;conflict;conflict;conflict;conflict;conflict;conflict;conflict;conflict;conflict;conflict;conflict;conflict;conflict;conflict;conflict;conflict;conflict;conflict;conflict;conflict;conflict;conflict;conflict;conflict;conflict;conflict;conflict;conflict
;55;46;12;13;83;54;54;31;54;65;69;28;49;114;64;20;102;53;81;29;25;55;45;34;35;152;37;41;48;22;30;30;35;26;46;49;30;36;38;43
;55;46;12;14;85;54;54;31;54;65;69;28;49;114;64;22;102;53;84;29;25;57;45;35;35;152;38;41;48;24;31;30;35;26;47;49;30;36;38;43
;55;46;12;16;88;54;54;31;54;65;69;28;49;114;64;22;103;53;86;29;25;59;46;35;35;152;38;42;48;26;33;30;35;26;48;49;30;36;39;43
;55;47;12;17;90;54;54;31;55;65;70;28;50;114;64;22;103;53;88;29;27;59;47;35;35;152;38;44;48;28;33;30;35;26;48;49;30;36;39;43
;55;47;12;19;90;54;54;31;57;65;70;28;52;114;64;22;103;53;90;30;27;59;48;35;35;152;38;44;49;30;33;30;35;26;48;49;30;36;39;43
;55;47;12;20;90;54;54;33;61;65;70;28;54;114;64;22;104;53;92;30;27;59;49;35;35;152;38;46;51;33;33;31;35;26;48;49;30;36;39;43
;55;47;12;21;90;54;54;35;61;65;70;28;54;114;64;22;104;53;94;30;27;59;50;35;35;152;39;46;52;37;33;31;35;26;48;49;30;36;39;43
;55;47;12;21;90;54;55;37;61;65;70;28;54;114;64;22;104;53;96;31;27;59;53;35;35;153;42;46;52;41;33;31;35;26;48;50;30;37;39;43
;55;47;12;22;90;54;56;39;61;65;70;28;55;114;64;23;104;53;98;32;27;59;55;35;35;154;42;46;52;44;33;31;35;26;48;51;30;38;39;43
;55;47;12;22;90;55;56;40;61;65;70;29;55;114;66;23;104;53;100;35;27;59;58;35;35;154;42;46;52;46;35;31;35;28;48;51;30;40;40;43
;55;47;12;22;90;56;56;41;61;66;70;30;55;114;66;23;104;53;102;38;27;59;59;35;35;155;42;46;52;48;35;31;35;28;48;51;30;41;41;43
;55;47;12;22;90;56;56;43;61;66;70;30;55;114;66;23;104;53;104;40;27;59;59;35;35;156;42;47;52;50;37;31;35;28;48;51;30;41;41;44
;55;47;12;22;90;56;56;45;61;66;70;30;55;114;67;25;104;53;106;42;27;59;59;35;35;156;42;47;52;52;38;31;35;28;48;51;32;41;41;44
;55;48;12;22;90;57;56;45;61;66;70;30;55;114;67;25;104;53;108;44;27;59;59;35;35;156;42;47;52;55;39;31;35;28;48;51;34;42;41;44
;55;50;12;22;90;57;56;45;61;66;70;30;55;114;67;25;105;53;110;45;27;59;59;35;35;156;43;47;52;57;40;32;35;28;48;51;34;42;41;44
;55;53;12;23;90;57;56;45;61;66;70;30;55;114;67;25;106;53;112;47;28;59;59;35;35;156;43;47;52;59;40;33;35;28;48;52;34;42;41;46
;55;56;12;23;90;57;56;45;61;66;71;30;55;114;67;25;106;53;114;48;31;59;60;35;35;156;43;47;52;61;41;33;35;28;48;52;35;42;41;48
;55;59;12;23;90;57;56;45;61;66;71;31;55;114;67;25;106;54;116;49;31;59;61;35;35;157;43;47;52;63;42;33;35;28;48;52;35;44;43;48
;55;63;12;23;90;57;56;46;61;66;71;31;55;114;67;25;106;55;118;49;31;59;61;35;35;158;43;47;52;65;43;33;36;28;48;52;35;44;46;48
;55;65;12;24;90;57;56;47;61;67;72;31;55;114;67;25;107;58;120;49;31;59;61;36;36;159;43;47;53;67;43;33;36;28;48;52;35;45;46;48
;55;67;12;24;90;57;56;49;61;70;73;31;56;114;67;26;107;60;122;51;31;59;61;36;36;159;43;47;54;69;43;33;36;28;48;52;35;45;46;48
;55;69;12;24;90;57;56;51;61;72;73;31;56;114;67;26;107;60;124;52;32;59;61;36;36;159;43;47;54;71;43;33;36;28;50;52;35;45;46;48
;55;71;12;24;90;57;58;53;61;74;73;31;56;114;67;28;107;62;126;52;33;59;61;37;36;159;43;48;54;73;43;33;36;28;50;52;35;47;48;48
;55;72;12;24;90;57;58;54;61;75;73;31;56;114;67;29;107;62;128;53;34;59;61;38;36;159;43;49;54;75;43;34;36;28;50;52;36;47;49;48
;55;72;12;24;90;57;58;54;61;75;73;31;56;114;67;29;107;62;130;54;35;62;61;38;36;159;45;49;54;77;43;34;36;28;50;52;36;47;49;48
;55;72;13;24;90;57;58;54;61;75;74;31;56;116;67;29;107;62;132;54;35;62;62;38;36;159;46;49;54;79;43;34;36;29;50;52;36;47;49;48
;56;72;13;24;90;58;58;54;61;75;74;31;56;118;68;29;107;62;134;54;35;62;62;38;36;159;46;50;54;82;43;34;36;29;50;52;36;47;49;48
;58;72;13;24;90;60;58;54;61;75;74;31;56;119;70;29;107;62;137;54;35;62;62;38;36;159;46;51;54;84;43;34;36;29;50;52;36;47;49;48
;61;72;13;25;90;62;58;54;62;75;74;31;56;121;72;29;107;62;139;54;35;63;62;38;37;159;46;52;55;86;44;34;36;30;50;53;36;47;50;48
;64;72;15;25;90;62;58;54;63;75;74;31;56;121;74;29;107;63;142;55;35;64;62;38;38;159;47;52;55;88;44;34;36;31;52;53;36;47;50;48
;66;72;16;26;90;63;58;54;63;75;74;31;56;121;74;29;107;63;144;56;35;64;62;38;38;159;47;52;56;90;44;34;36;32;53;53;38;47;50;48
;67;72;18;28;90;63;58;54;63;75;74;31;56;121;74;29;107;63;146;56;36;64;62;38;38;159;47;52;56;92;44;34;36;32;53;53;39;47;50;48
;67;72;20;30;90;63;58;54;63;75;74;31;56;121;74;30;107;63;148;56;38;64;62;40;38;159;47;52;57;94;44;34;36;33;55;53;39;47;50;48
;67;72;20;31;90;63;58;54;63;75;74;31;56;121;74;31;107;63;150;56;39;64;62;42;38;159;47;53;59;96;44;34;36;33;55;53;39;47;52;48
;67;72;20;31;91;63;58;54;63;75;74;31;56;125;74;32;108;63;152;56;40;64;62;42;38;159;47;53;59;98;44;34;37;33;55;53;41;47;55;49
;68;72;20;31;91;63;58;54;63;75;74;33;56;127;74;32;108;63;158;56;40;64;62;43;38;159;47;53;59;100;44;34;37;33;55;53;41;47;56;51
;68;72;20;31;91;63;58;54;63;75;76;34;56;130;74;32;108;63;161;56;40;64;62;43;38;159;47;53;60;102;45;35;37;33;55;53;41;48;56;51
;68;72;20;31;91;63;59;54;63;75;76;35;56;132;75;32;108;64;163;56;40;64;62;43;38;159;47;55;61;104;46;38;37;33;55;53;41;48;57;51
;68;72;20;31;91;63;60;54;63;75;76;37;56;133;75;32;108;66;165;56;40;64;63;43;38;161;48;55;65;106;46;39;37;33;57;53;41;48;59;51
;68;72;20;31;91;63;60;54;63;75;76;39;56;133;77;32;108;66;167;56;41;65;63;44;38;161;48;55;67;110;46;40;39;33;57;53;41;48;59;51
;68;72;20;31;93;63;60;54;63;75;76;41;56;133;78;32;108;66;169;57;42;67;63;44;38;162;48;55;70;112;46;41;40;34;57;53;41;49;59;52
;68;72;21;31;95;63;60;54;63;75;76;43;58;133;79;32;108;66;171;57;42;67;63;44;38;162;48;56;70;114;46;42;41;34;57;53;41;49;59;52
;68;72;22;31;95;63;60;54;63;75;76;45;58;134;79;32;108;66;173;57;42;67;64;44;38;162;48;57;70;116;46;42;42;34;57;53;41;49;59;52
;68;72;22;31;95;63;61;54;64;75;76;47;58;134;79;33;108;66;175;57;42;67;66;44;38;162;48;58;70;118;48;42;42;34;57;53;41;49;59;52
;68;72;22;31;96;63;62;54;64;75;76;49;58;135;79;35;108;66;178;58;42;67;68;46;38;162;48;58;70;120;49;42;42;34;57;54;41;49;59;52
